Date	Time	Activity (Triaxial-Counts)
3/25/2024	3:00:00 PM	33
3/25/2024	3:00:15 PM	224
3/25/2024	3:00:30 PM	33
3/25/2024	3:00:45 PM	379
3/25/2024	3:01:00 PM	32
3/25/2024	3:01:15 PM	334
3/25/2024	3:01:30 PM	54
3/25/2024	3:01:45 PM	65
3/25/2024	3:02:00 PM	454
3/25/2024	3:02:15 PM	44
3/25/2024	3:02:30 PM	58
3/25/2024	3:02:45 PM	80
3/25/2024	3:03:00 PM	31
3/25/2024	3:03:15 PM	23
3/25/2024	3:03:30 PM	54
3/25/2024	3:03:45 PM	107
3/25/2024	3:04:00 PM	48
3/25/2024	3:04:15 PM	17
3/25/2024	3:04:30 PM	125
3/25/2024	3:04:45 PM	39
3/25/2024	3:05:00 PM	244
3/25/2024	3:05:15 PM	303
3/25/2024	3:05:30 PM	103
3/25/2024	3:05:45 PM	138
3/25/2024	3:06:00 PM	323
3/25/2024	3:06:15 PM	90
3/25/2024	3:06:30 PM	201
3/25/2024	3:06:45 PM	354
3/25/2024	3:07:00 PM	109
3/25/2024	3:07:15 PM	42
3/25/2024	3:07:30 PM	5
3/25/2024	3:07:45 PM	152
3/25/2024	3:08:00 PM	34
3/25/2024	3:08:15 PM	0
3/25/2024	3:08:30 PM	23
3/25/2024	3:08:45 PM	0
3/25/2024	3:09:00 PM	21
3/25/2024	3:09:15 PM	0
3/25/2024	3:09:30 PM	0
3/25/2024	3:09:45 PM	11
3/25/2024	3:10:00 PM	5
3/25/2024	3:10:15 PM	0
3/25/2024	3:10:30 PM	34
3/25/2024	3:10:45 PM	0
3/25/2024	3:11:00 PM	21
3/25/2024	3:11:15 PM	0
3/25/2024	3:11:30 PM	0
3/25/2024	3:11:45 PM	32
3/25/2024	3:12:00 PM	22
3/25/2024	3:12:15 PM	22
3/25/2024	3:12:30 PM	65
3/25/2024	3:12:45 PM	0
3/25/2024	3:13:00 PM	45
3/25/2024	3:13:15 PM	4
3/25/2024	3:13:30 PM	0
3/25/2024	3:13:45 PM	221
3/25/2024	3:14:00 PM	333
3/25/2024	3:14:15 PM	8
3/25/2024	3:14:30 PM	12
3/25/2024	3:14:45 PM	334
3/25/2024	3:15:00 PM	0
3/25/2024	3:15:15 PM	22
3/25/2024	3:15:30 PM	21
3/25/2024	3:15:45 PM	226
3/25/2024	3:16:00 PM	491
3/25/2024	3:16:15 PM	171
3/25/2024	3:16:30 PM	207
3/25/2024	3:16:45 PM	298
3/25/2024	3:17:00 PM	322
3/25/2024	3:17:15 PM	223
3/25/2024	3:17:30 PM	173
3/25/2024	3:17:45 PM	0
3/25/2024	3:18:00 PM	20
3/25/2024	3:18:15 PM	0
3/25/2024	3:18:30 PM	0
3/25/2024	3:18:45 PM	41
3/25/2024	3:19:00 PM	37
3/25/2024	3:19:15 PM	65
3/25/2024	3:19:30 PM	29
3/25/2024	3:19:45 PM	74
3/25/2024	3:20:00 PM	40
3/25/2024	3:20:15 PM	10
3/25/2024	3:20:30 PM	44
3/25/2024	3:20:45 PM	0
3/25/2024	3:21:00 PM	82
3/25/2024	3:21:15 PM	51
3/25/2024	3:21:30 PM	0
3/25/2024	3:21:45 PM	0
3/25/2024	3:22:00 PM	55
3/25/2024	3:22:15 PM	0
3/25/2024	3:22:30 PM	5
3/25/2024	3:22:45 PM	0
3/25/2024	3:23:00 PM	22
3/25/2024	3:23:15 PM	0
3/25/2024	3:23:30 PM	0
3/25/2024	3:23:45 PM	0
3/25/2024	3:24:00 PM	145
3/25/2024	3:24:15 PM	0
3/25/2024	3:24:30 PM	0
3/25/2024	3:24:45 PM	0
3/25/2024	3:25:00 PM	6
3/25/2024	3:25:15 PM	60
3/25/2024	3:25:30 PM	50
3/25/2024	3:25:45 PM	51
3/25/2024	3:26:00 PM	0
3/25/2024	3:26:15 PM	0
3/25/2024	3:26:30 PM	0
3/25/2024	3:26:45 PM	0
3/25/2024	3:27:00 PM	52
3/25/2024	3:27:15 PM	51
3/25/2024	3:27:30 PM	9
3/25/2024	3:27:45 PM	5
3/25/2024	3:28:00 PM	0
3/25/2024	3:28:15 PM	0
3/25/2024	3:28:30 PM	214
3/25/2024	3:28:45 PM	140
3/25/2024	3:29:00 PM	306
3/25/2024	3:29:15 PM	155
3/25/2024	3:29:30 PM	0
3/25/2024	3:29:45 PM	14
3/25/2024	3:30:00 PM	128
3/25/2024	3:30:15 PM	49
3/25/2024	3:30:30 PM	42
3/25/2024	3:30:45 PM	0
3/25/2024	3:31:00 PM	0
3/25/2024	3:31:15 PM	0
3/25/2024	3:31:30 PM	0
3/25/2024	3:31:45 PM	123
3/25/2024	3:32:00 PM	0
3/25/2024	3:32:15 PM	177
3/25/2024	3:32:30 PM	0
3/25/2024	3:32:45 PM	0
3/25/2024	3:33:00 PM	0
3/25/2024	3:33:15 PM	0
3/25/2024	3:33:30 PM	0
3/25/2024	3:33:45 PM	0
3/25/2024	3:34:00 PM	0
3/25/2024	3:34:15 PM	251
3/25/2024	3:34:30 PM	0
3/25/2024	3:34:45 PM	0
3/25/2024	3:35:00 PM	0
3/25/2024	3:35:15 PM	0
3/25/2024	3:35:30 PM	0
3/25/2024	3:35:45 PM	0
3/25/2024	3:36:00 PM	0
3/25/2024	3:36:15 PM	0
3/25/2024	3:36:30 PM	0
3/25/2024	3:36:45 PM	0
3/25/2024	3:37:00 PM	0
3/25/2024	3:37:15 PM	127
3/25/2024	3:37:30 PM	246
3/25/2024	3:37:45 PM	4
3/25/2024	3:38:00 PM	54
3/25/2024	3:38:15 PM	202
3/25/2024	3:38:30 PM	71
3/25/2024	3:38:45 PM	27
3/25/2024	3:39:00 PM	38
3/25/2024	3:39:15 PM	68
3/25/2024	3:39:30 PM	30
3/25/2024	3:39:45 PM	53
3/25/2024	3:40:00 PM	44
3/25/2024	3:40:15 PM	13
3/25/2024	3:40:30 PM	91
3/25/2024	3:40:45 PM	39
3/25/2024	3:41:00 PM	94
3/25/2024	3:41:15 PM	0
3/25/2024	3:41:30 PM	26
3/25/2024	3:41:45 PM	11
3/25/2024	3:42:00 PM	140
3/25/2024	3:42:15 PM	16
3/25/2024	3:42:30 PM	28
3/25/2024	3:42:45 PM	85
3/25/2024	3:43:00 PM	0
3/25/2024	3:43:15 PM	62
3/25/2024	3:43:30 PM	158
3/25/2024	3:43:45 PM	55
3/25/2024	3:44:00 PM	103
3/25/2024	3:44:15 PM	17
3/25/2024	3:44:30 PM	0
3/25/2024	3:44:45 PM	7
3/25/2024	3:45:00 PM	122
3/25/2024	3:45:15 PM	49
3/25/2024	3:45:30 PM	137
3/25/2024	3:45:45 PM	65
3/25/2024	3:46:00 PM	42
3/25/2024	3:46:15 PM	16
3/25/2024	3:46:30 PM	0
3/25/2024	3:46:45 PM	130
3/25/2024	3:47:00 PM	16
3/25/2024	3:47:15 PM	0
3/25/2024	3:47:30 PM	18
3/25/2024	3:47:45 PM	14
3/25/2024	3:48:00 PM	4
3/25/2024	3:48:15 PM	31
3/25/2024	3:48:30 PM	95
3/25/2024	3:48:45 PM	5
3/25/2024	3:49:00 PM	15
3/25/2024	3:49:15 PM	4
3/25/2024	3:49:30 PM	262
3/25/2024	3:49:45 PM	4
3/25/2024	3:50:00 PM	25
3/25/2024	3:50:15 PM	6
3/25/2024	3:50:30 PM	16
3/25/2024	3:50:45 PM	9
3/25/2024	3:51:00 PM	53
3/25/2024	3:51:15 PM	44
3/25/2024	3:51:30 PM	81
3/25/2024	3:51:45 PM	19
3/25/2024	3:52:00 PM	41
3/25/2024	3:52:15 PM	56
3/25/2024	3:52:30 PM	34
3/25/2024	3:52:45 PM	24
3/25/2024	3:53:00 PM	20
3/25/2024	3:53:15 PM	7
3/25/2024	3:53:30 PM	9
3/25/2024	3:53:45 PM	57
3/25/2024	3:54:00 PM	100
3/25/2024	3:54:15 PM	241
3/25/2024	3:54:30 PM	409
3/25/2024	3:54:45 PM	175
3/25/2024	3:55:00 PM	0
3/25/2024	3:55:15 PM	0
3/25/2024	3:55:30 PM	147
3/25/2024	3:55:45 PM	216
3/25/2024	3:56:00 PM	377
3/25/2024	3:56:15 PM	225
3/25/2024	3:56:30 PM	147
3/25/2024	3:56:45 PM	35
3/25/2024	3:57:00 PM	0
3/25/2024	3:57:15 PM	22
3/25/2024	3:57:30 PM	82
3/25/2024	3:57:45 PM	85
3/25/2024	3:58:00 PM	0
3/25/2024	3:58:15 PM	18
3/25/2024	3:58:30 PM	5
3/25/2024	3:58:45 PM	38
3/25/2024	3:59:00 PM	135
3/25/2024	3:59:15 PM	0
3/25/2024	3:59:30 PM	0
3/25/2024	3:59:45 PM	67
3/25/2024	4:00:00 PM	40
3/25/2024	4:00:15 PM	41
3/25/2024	4:00:30 PM	60
3/25/2024	4:00:45 PM	75
3/25/2024	4:01:00 PM	30
3/25/2024	4:01:15 PM	0
3/25/2024	4:01:30 PM	0
3/25/2024	4:01:45 PM	0
3/25/2024	4:02:00 PM	79
3/25/2024	4:02:15 PM	92
3/25/2024	4:02:30 PM	19
3/25/2024	4:02:45 PM	7
3/25/2024	4:03:00 PM	43
3/25/2024	4:03:15 PM	29
3/25/2024	4:03:30 PM	16
3/25/2024	4:03:45 PM	124
3/25/2024	4:04:00 PM	49
3/25/2024	4:04:15 PM	0
3/25/2024	4:04:30 PM	13
3/25/2024	4:04:45 PM	0
3/25/2024	4:05:00 PM	4
3/25/2024	4:05:15 PM	4
3/25/2024	4:05:30 PM	13
3/25/2024	4:05:45 PM	11
3/25/2024	4:06:00 PM	18
3/25/2024	4:06:15 PM	21
3/25/2024	4:06:30 PM	36
3/25/2024	4:06:45 PM	18
3/25/2024	4:07:00 PM	10
3/25/2024	4:07:15 PM	135
3/25/2024	4:07:30 PM	58
3/25/2024	4:07:45 PM	78
3/25/2024	4:08:00 PM	78
3/25/2024	4:08:15 PM	24
3/25/2024	4:08:30 PM	37
3/25/2024	4:08:45 PM	46
3/25/2024	4:09:00 PM	28
3/25/2024	4:09:15 PM	60
3/25/2024	4:09:30 PM	54
3/25/2024	4:09:45 PM	55
3/25/2024	4:10:00 PM	55
3/25/2024	4:10:15 PM	111
3/25/2024	4:10:30 PM	219
3/25/2024	4:10:45 PM	33
3/25/2024	4:11:00 PM	11
3/25/2024	4:11:15 PM	36
3/25/2024	4:11:30 PM	0
3/25/2024	4:11:45 PM	61
3/25/2024	4:12:00 PM	25
3/25/2024	4:12:15 PM	9
3/25/2024	4:12:30 PM	12
3/25/2024	4:12:45 PM	54
3/25/2024	4:13:00 PM	81
3/25/2024	4:13:15 PM	0
3/25/2024	4:13:30 PM	12
3/25/2024	4:13:45 PM	0
3/25/2024	4:14:00 PM	45
3/25/2024	4:14:15 PM	63
3/25/2024	4:14:30 PM	14
3/25/2024	4:14:45 PM	6
3/25/2024	4:15:00 PM	4
3/25/2024	4:15:15 PM	0
3/25/2024	4:15:30 PM	10
3/25/2024	4:15:45 PM	0
3/25/2024	4:16:00 PM	9
3/25/2024	4:16:15 PM	0
3/25/2024	4:16:30 PM	0
3/25/2024	4:16:45 PM	89
3/25/2024	4:17:00 PM	11
3/25/2024	4:17:15 PM	25
3/25/2024	4:17:30 PM	19
3/25/2024	4:17:45 PM	0
3/25/2024	4:18:00 PM	68
3/25/2024	4:18:15 PM	34
3/25/2024	4:18:30 PM	90
3/25/2024	4:18:45 PM	54
3/25/2024	4:19:00 PM	72
3/25/2024	4:19:15 PM	63
3/25/2024	4:19:30 PM	56
3/25/2024	4:19:45 PM	4
3/25/2024	4:20:00 PM	28
